"namespace","mount_path","mount_type","clients","entity_clients","non_entity_clients","acme_clients","secret_syncs"
"prod/jago/","auth/kubernetes/","kubernetes/",7,7,0,0,0
"prod/koinworks/","auth/kubernetes/","kubernetes/",7,7,0,0,0
"prod/jeitto/","auth/kubernetes/","kubernetes/",7,7,0,0,0
"prod/azptest24/","auth/kubernetes/","kubernetes/",7,7,0,0,0
"prod/wio/","auth/kubernetes/","kubernetes/",7,7,0,0,0
"prod/gcpptest2/","auth/kubernetes/","kubernetes/",7,7,0,0,0
"prod/bns/","auth/kubernetes/","kubernetes/",7,7,0,0,0
"deleted namespace ""IiaWE""","auth/kubernetes/","deleted mount",7,7,0,0,0
"sand/wio/","auth/kubernetes/","kubernetes/",7,7,0,0,0
"dr/drt287/","auth/kubernetes/","kubernetes/",5,5,0,0,0
"sand/azureuae/","auth/kubernetes/","kubernetes/",5,5,0,0,0
"sand/libertad/","auth/kubernetes/","kubernetes/",5,5,0,0,0
"prod/montreal/","auth/kubernetes/","kubernetes/",5,5,0,0,0
"prod/bankina/","auth/kubernetes/","kubernetes/",5,5,0,0,0
"sand/montreal/","auth/kubernetes/","kubernetes/",5,5,0,0,0
"deleted namespace ""j9I7a""","auth/kubernetes/","deleted mount",5,5,0,0,0
"sand/bankina/","auth/kubernetes/","kubernetes/",5,5,0,0,0
"prod/libertad/","auth/kubernetes/","kubernetes/",5,5,0,0,0
"prod/azureuae/","auth/kubernetes/","kubernetes/",5,5,0,0,0
"sand/sdb/","auth/kubernetes/","kubernetes/",4,4,0,0,0
"sand/osb/","deleted mount; accessor ""auth_kubernetes_fea40778""","deleted mount",4,4,0,0,0
"deleted namespace ""6PPAx""","deleted mount; accessor ""auth_kubernetes_5581a0ad""","deleted mount",4,4,0,0,0
"deleted namespace ""L6bxp""","auth/kubernetes/","deleted mount",4,4,0,0,0
"deleted namespace ""fhHaj""","deleted mount; accessor ""auth_kubernetes_69d855bc""","deleted mount",4,4,0,0,0
"deleted namespace ""uQSXH""","deleted mount; accessor ""auth_kubernetes_0bf9497a""","deleted mount",4,4,0,0,0
"sand/adq/","deleted mount; accessor ""auth_kubernetes_65bac360""","deleted mount",4,4,0,0,0
"sand/bsf/","auth/kubernetes/","deleted mount",4,4,0,0,0
"prod/drt287/","auth/kubernetes/","kubernetes/",3,3,0,0,0
"deleted namespace ""8Egsn""","deleted mount; accessor ""auth_kubernetes_9341253f""","deleted mount",3,3,0,0,0
"deleted namespace ""EqZ38""","auth/kubernetes/","deleted mount",3,3,0,0,0
"deleted namespace ""41gBR""","auth/kubernetes/","deleted mount",3,3,0,0,0
"deleted namespace ""ifjJN""","auth/kubernetes/","deleted mount",3,3,0,0,0
"deleted namespace ""dLZsT""","auth/kubernetes/","deleted mount",3,3,0,0,0
"prod/sdb/","auth/kubernetes/","kubernetes/",3,3,0,0,0
"deleted namespace ""Jkpyk""","auth/kubernetes/","deleted mount",3,3,0,0,0
"gitlab/","auth/jwt/","jwt/",2,2,0,0,0
"prod/ta3meed/","auth/kubernetes/","kubernetes/",2,2,0,0,0
"deleted namespace ""YFqMn""","deleted mount; accessor ""auth_kubernetes_cdaa5941""","deleted mount",2,2,0,0,0
"deleted namespace ""Mb7iR""","deleted mount; accessor ""auth_kubernetes_42cca2e0""","deleted mount",1,1,0,0,0
"prod/vault-eu-az/","auth/kubernetes/","kubernetes/",1,1,0,0,0
"dr/jeitto/","auth/kubernetes/","kubernetes/",1,1,0,0,0
"dr/adq/","auth/kubernetes/","kubernetes/",1,1,0,0,0
"deleted namespace ""kcacU""","deleted mount; accessor ""auth_kubernetes_64f0b166""","deleted mount",1,1,0,0,0
"dr/montreal/","auth/kubernetes/","kubernetes/",1,1,0,0,0
"dr/sngpr2/","auth/kubernetes/","kubernetes/",1,1,0,0,0
"dr/vault-eu-az/","auth/kubernetes/","kubernetes/",1,1,0,0,0
"deleted namespace ""fTMGL""","auth/kubernetes/","deleted mount",1,1,0,0,0
"deleted namespace ""tBcOv""","deleted mount; accessor ""auth_kubernetes_be133760""","deleted mount",1,1,0,0,0
"dr/sdb/","auth/kubernetes/","kubernetes/",1,1,0,0,0
"dr/libertad/","auth/kubernetes/","kubernetes/",1,1,0,0,0
